,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Unnamed: 10,Unnamed: 11,Diff_coeff_filtering
112,48,17777.78,19.24,21,5625.0,19.24,2.29,0.36,0.25,0.75,,,22.290195846903963
113,48,17777.78,19.24,21,6944.44,19.24,2.29,0.36,0.25,0.75,,,17.872710656362162
114,48,17777.78,19.24,21,8402.78,19.24,2.29,0.36,0.25,0.75,,,12.273275161337311
115,48,17777.78,19.24,27,10000.0,19.24,1.78,0.25,0.17,0.83,,,14.77655429873399
116,48,17777.78,19.24,37,11736.11,19.24,1.3,0.11,0.08,0.92,,,24.941316995698674
117,48,17777.78,19.24,37,13611.11,19.24,1.3,0.11,0.08,0.92,,,15.413279068283046
118,48,17777.78,19.24,45,15625.0,19.24,1.07,0.03,0.02,0.98,,,28.760177646539013
119,48,17777.78,19.24,48,17777.78,19.24,1.0,0.0,0.0,1.0,,,-1.0
120,48,17777.78,19.24,61,20069.44,19.24,0.79,-0.1,0.07,0.93,,,4.02914705504036
121,48,17777.78,19.24,69,22500.0,19.24,0.7,-0.16,0.11,0.89,,,3.092764163943815
122,48,17777.78,19.24,69,25069.44,19.24,0.7,-0.16,0.11,0.89,,,13.40372972894066
123,48,17777.78,19.24,69,27777.78,19.24,0.7,-0.16,0.11,0.89,,,19.652166491295056
124,48,17777.78,19.24,89,30625.0,19.24,0.54,-0.27,0.18,0.82,,,11.52077711190135
125,48,17777.78,19.24,97,33611.11,19.24,0.49,-0.31,0.21,0.79,,,12.239462990730589
126,48,17777.78,19.24,101,36736.11,19.24,0.48,-0.32,0.22,0.78,,,14.158716139779612
127,48,17777.78,19.24,112,40000.0,19.24,0.43,-0.37,0.25,0.75,,,13.671621946900771
128,61,20069.44,19.24,21,5625.0,19.24,2.9,0.46,0.32,0.68,,,18.969768791883336
129,61,20069.44,19.24,21,6944.44,19.24,2.9,0.46,0.32,0.68,,,14.657063602354265
130,61,20069.44,19.24,21,8402.78,19.24,2.9,0.46,0.32,0.68,,,9.491390287990011
131,61,20069.44,19.24,27,10000.0,19.24,2.26,0.35,0.24,0.76,,,10.721768397387402
132,61,20069.44,19.24,37,11736.11,19.24,1.65,0.22,0.15,0.85,,,16.504579771082206
133,61,20069.44,19.24,37,13611.11,19.24,1.65,0.22,0.15,0.85,,,8.128080673896054
134,61,20069.44,19.24,45,15625.0,19.24,1.36,0.13,0.09,0.91,,,9.702859325443848
135,61,20069.44,19.24,48,17777.78,19.24,1.27,0.1,0.07,0.93,,,4.029147055040354
136,61,20069.44,19.24,61,20069.44,19.24,1.0,0.0,0.0,1.0,,,-1.0
137,61,20069.44,19.24,69,22500.0,19.24,0.88,-0.05,0.04,0.96,,,12.871343152053305
138,61,20069.44,19.24,69,25069.44,19.24,0.88,-0.05,0.04,0.96,,,27.113800711237502
